,Time,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,RH_pred_xg,AH_pred_xg
0,2004-03-10 18:00:00,2.6,1360.0,11.881723488680304,1045.5,166.0,1056.25,113.0,1692.0,1267.5,13.599999904633,48.875000953674,0.7577538251293606,48.842007,0.7823966
1,2004-03-10 19:00:00,2.0,1292.25,9.397164889581603,954.75,103.0,1173.75,92.0,1558.75,972.25,13.299999952316,47.699999809265,0.7254874492424674,48.162365,0.74475116
2,2004-03-10 20:00:00,2.2,1402.0,8.997816871326798,939.25,131.0,1140.0,114.0,1554.5,1074.0,11.900000095367,53.97500038147,0.7502390673981953,60.41294,0.7563613
3,2004-03-10 21:00:00,2.2,1375.5,9.228796421407274,948.25,172.0,1092.0,122.0,1583.75,1203.25,11.0,60.0,0.7867125330859253,60.204937,0.79625106
4,2004-03-10 22:00:00,1.6,1272.25,6.518223669074141,835.5,131.0,1205.0,116.0,1490.0,1110.0,11.150000095367,59.575000762939,0.7887942318667593,59.855988,0.8073604
5,2004-03-10 23:00:00,1.2,1197.0,4.741012362478748,750.25,89.0,1336.5,96.0,1393.0,949.25,11.175000190735,59.175000190735,0.7847716643397448,61.886127,0.7629844
6,2004-03-11 00:00:00,1.2,1185.0,3.624399189797516,689.5,62.0,1461.75,77.0,1332.75,732.5,11.324999809265,56.77499961853,0.7603119392843289,56.966908,0.79652506
7,2004-03-11 01:00:00,1.0,1136.25,3.3266769916607997,672.0,62.0,1453.25,76.0,1332.75,729.5,10.674999952316,60.0,0.7702384578230451,57.10081,0.7435429
8,2004-03-11 02:00:00,0.9,1094.0,2.3394161950867094,608.5,45.0,1579.0,60.0,1276.0,619.5,10.650000095367,59.674999237061,0.7648187256861201,59.64569,0.8025443
9,2004-03-11 03:00:00,0.6,1009.75,1.6966582576513223,560.75,114.5,1705.0,80.08076923076922,1234.75,501.25,10.250000238419,60.200000762939,0.7516571648306898,60.673687,0.781599
10,2004-03-11 04:00:00,0.758659217877095,1011.0,1.2936197573720989,526.75,21.0,1817.5,34.0,1196.75,445.25,10.075000047684,60.474999427795,0.7464945161292466,60.315483,0.7514505
11,2004-03-11 05:00:00,0.7,1066.0,1.1334305711878574,512.0,16.0,1918.0,28.0,1182.0,421.75,10.999999761581,56.175000190735,0.7365596001806396,56.290802,0.77794296
12,2004-03-11 06:00:00,0.7,1051.75,1.6037678797288073,553.25,34.0,1738.25,48.0,1221.25,471.5,10.450000047684,58.125,0.7352950830247281,57.871044,0.7206793
13,2004-03-11 07:00:00,1.1,1144.0,3.2436181473100727,667.0,98.0,1489.75,82.0,1339.0,729.75,10.200000047684,59.599999427795,0.7417361628563275,69.28714,0.77191305
14,2004-03-11 08:00:00,2.0,1333.25,8.013772987090615,899.75,174.0,1136.0,112.0,1517.0,1101.5,10.75,57.425000190735,0.7407945757399766,66.348625,0.7832287
15,2004-03-11 09:00:00,2.2,1351.0,9.540642925320222,960.25,129.0,1079.0,101.0,1582.75,1027.75,10.5,60.599998474121,0.7691107927579083,60.97727,0.7248152
16,2004-03-11 10:00:00,1.7,1233.25,6.335782437222818,827.25,112.0,1218.0,98.0,1445.75,859.75,10.799999952316,58.35000038147,0.7551830826522904,60.4578,0.7454496
17,2004-03-11 11:00:00,1.5,1178.75,4.971583761462568,762.0,95.0,1327.5,92.0,1361.75,670.5,10.499999761581,57.925000190735,0.7351607796315153,58.17569,0.7046433
18,2004-03-11 12:00:00,1.6,1236.0,5.216918999884966,774.25,104.0,1301.25,95.0,1401.25,664.0,9.5249998569489,66.774998664856,0.7950537885142038,66.52644,0.6773026
19,2004-03-11 13:00:00,1.9,1285.5,7.26993335753569,868.5,146.0,1162.25,112.0,1536.75,799.0,8.299999833107,76.425001144409,0.8392680677502771,76.08094,0.84231246
20,2004-03-11 14:00:00,2.9,1371.0,11.539007213563714,1033.5,207.0,983.25,128.0,1730.25,1036.5,8.0,81.14999961853,0.8735885336185425,80.82348,0.8340317
21,2004-03-11 15:00:00,2.2,1310.0,8.826222726457212,932.5,184.0,1081.75,126.0,1646.5,946.25,8.325000166893,79.799999237061,0.8777844450980445,79.8757,0.89670455
22,2004-03-11 16:00:00,2.2,1291.75,8.301413416761816,911.5,193.0,1102.5,131.0,1590.75,956.75,9.7000000476837,71.150001525879,0.8569381279436317,71.62129,0.8608793
23,2004-03-11 17:00:00,2.9,1383.0,11.151581216129403,1019.75,243.0,1008.0,135.0,1718.75,1104.0,9.7750000953674,67.624998092651,0.8185012074753434,68.162,0.8815306
24,2004-03-11 18:00:00,4.8,1580.75,20.799216861460543,1318.5,281.0,798.5,151.0,2083.0,1408.5,10.349999904633,64.174999237061,0.806543633173666,64.73438,0.81557846
25,2004-03-11 19:00:00,6.9,1775.5,27.359807493586764,1487.75,383.0,702.25,172.0,2332.5,1704.0,9.6500000953674,69.300001144409,0.8319211444100879,64.267334,0.77127445
26,2004-03-11 20:00:00,6.1,1640.0,24.017756935949226,1404.0,351.0,742.75,165.0,2191.25,1653.75,9.6499998569489,67.75,0.8133139353625914,67.45694,0.79909694
27,2004-03-11 21:00:00,3.9,1312.75,12.779368248758171,1076.25,240.0,957.25,136.0,1706.5,1284.75,9.125,63.974999427795,0.7419242244892506,64.006996,0.71599716
28,2004-03-11 22:00:00,1.5,964.5,4.707071919244755,748.5,94.0,1325.25,85.0,1332.5,821.0,8.1750001907349,63.39999961853,0.6904844466414399,63.281284,0.6616561
29,2004-03-11 23:00:00,1.0,912.75,2.6457215096105893,629.25,47.0,1564.5,53.0,1252.25,551.75,8.2499998807907,60.824998855591,0.6657443604063102,74.92083,0.71476907
30,2004-03-12 00:00:00,1.7,1080.25,5.85480151426304,805.0,122.0,1253.5,97.0,1375.0,815.5,8.3250002861023,58.525000572205,0.6437636096330573,59.12813,0.69538534
31,2004-03-12 01:00:00,1.9,1043.75,6.37429750967153,829.0,133.0,1247.25,110.0,1378.25,831.5,7.7250001430511,59.674999237061,0.6307660602738635,60.843433,0.6721388
32,2004-03-12 02:00:00,1.4,987.75,4.132341795103469,718.0,82.0,1395.5,91.0,1303.5,691.5,7.125,61.799999237061,0.6275973687868803,66.13248,0.611735
33,2004-03-12 03:00:00,0.8,888.75,1.8694446351370275,574.25,114.5,1680.25,80.08076923076922,1187.0,512.0,6.9750000238419,62.27499961853,0.6261075278097894,71.65221,0.7001551
34,2004-03-12 04:00:00,0.758659217877095,831.0,1.0682926116418547,505.75,21.0,1892.75,32.0,1133.75,384.0,6.1000000238419,65.900001525879,0.6247536319724682,65.88984,0.6262997
35,2004-03-12 05:00:00,0.6,847.25,1.0224145989759525,501.25,30.0,1894.5,44.0,1154.75,394.0,6.2749999761581,64.97500038147,0.6232823211022999,65.279106,0.63284016
36,2004-03-12 06:00:00,0.8,927.0,1.8304312258349797,571.25,56.0,1684.75,71.0,1222.75,486.5,6.75,62.949999809265,0.6234275392144519,63.225193,0.61623865
37,2004-03-12 07:00:00,1.4,1090.5,4.359340996864498,730.25,109.0,1387.0,104.0,1360.75,748.25,6.4499999284744,65.075001716614,0.6316281144389537,65.25609,0.63346916
38,2004-03-12 08:00:00,4.4,1587.0,17.865586704833834,1235.5,307.0,896.5,141.0,1900.25,1400.25,7.3250000476837,63.14999961853,0.6499331393073879,67.161865,0.6723543
39,2004-03-12 09:00:00,2.9724770642201834,1544.5,22.074162063223632,1353.0,361.30359281437126,767.25,130.86426426426428,2058.0,1587.75,9.2250000238419,56.199998855591,0.6560651189171942,57.393177,0.6799743
40,2004-03-12 10:00:00,3.1,1350.25,14.02701136675159,1117.5,187.0,912.0,122.0,1711.75,1237.0,13.224999904633,41.749999046326,0.6319501309937225,43.50254,0.69768107
41,2004-03-12 11:00:00,2.7,1262.75,11.645646559704057,1037.25,216.0,969.0,143.0,1598.25,1166.5,14.325000047684,38.449999809265,0.6243042942153901,40.67301,0.66795325
42,2004-03-12 12:00:00,2.1,1206.25,10.224662143952827,986.0,143.0,1034.5,113.0,1537.0,959.0,15.025000095367,36.5,0.6195323226057363,36.09772,0.6485629
43,2004-03-12 13:00:00,2.5,1251.5,11.039936039300839,1015.75,160.0,1007.5,116.0,1592.75,983.0,16.100000143051,34.474999427795,0.6261647401566796,33.989254,0.6385822
44,2004-03-12 14:00:00,2.7,1287.0,12.816446196415624,1077.5,163.0,948.75,123.0,1660.25,1060.75,16.275000572205,35.72500038147,0.6560306119627572,36.252922,0.70166296
45,2004-03-12 15:00:00,2.9,1352.75,14.173851177910128,1122.25,190.0,921.75,126.0,1740.0,1139.25,15.825000047684,37.02499961853,0.6609611395034868,38.391647,0.70864034
46,2004-03-12 16:00:00,2.8,1309.0,12.690568103372724,1073.25,178.0,954.0,120.0,1657.25,1112.25,15.874999761581,37.175000190735,0.6657285250911997,39.100925,0.68087244
47,2004-03-12 17:00:00,2.4,1274.0,11.738405416264687,1040.5,150.0,1005.75,119.0,1609.75,993.75,16.875000238419,34.349999427795,0.6549085143270723,33.954727,0.6468382
48,2004-03-12 18:00:00,3.9,1509.5,19.290974886272963,1276.5,206.0,812.25,149.0,1909.75,1409.5,15.149999856949,39.550000190735,0.6766265078085045,45.57491,0.7122951
49,2004-03-12 19:00:00,3.7,1525.25,18.226178291697384,1246.0,202.0,821.0,145.0,1846.75,1447.75,14.399999856949,43.425000190735,0.7084497598177374,44.6448,0.81606525
50,2004-03-12 20:00:00,6.6,1843.0,32.55627834707047,1609.75,340.0,624.0,170.0,2390.25,1886.5,12.875,50.525000572205,0.7478032188508966,50.489906,0.73962164
51,2004-03-12 21:00:00,4.4,1597.75,20.092943564494178,1299.0,274.0,752.0,149.0,1940.5,1626.75,12.149999856949,53.349999427795,0.7536202227825304,55.323486,0.7506785
52,2004-03-12 22:00:00,3.5,1483.5,14.321342422629458,1127.0,253.0,839.0,139.0,1723.0,1491.0,10.975000143051,59.125000953674,0.7739800033862854,58.41871,0.75147086
53,2004-03-12 23:00:00,5.4,1677.25,21.81286506943192,1346.0,300.0,740.5,134.0,2062.0,1657.0,9.6749999523163,64.624999046326,0.7770739425473616,63.892815,0.77952117
54,2004-03-13 00:00:00,2.7,1279.5,9.638999814518419,964.0,193.0,962.5,113.0,1543.5,1285.25,9.4500002861023,64.125,0.7597465282359432,64.91355,0.7812747
55,2004-03-13 01:00:00,1.9,1196.25,7.375139467546298,873.0,139.0,1071.25,97.0,1463.25,1144.25,9.1499998569489,63.900001525879,0.7422764129225364,64.12555,0.7410878
56,2004-03-13 02:00:00,1.6,1183.75,5.369604169687442,781.75,83.0,1176.25,82.0,1364.5,1042.75,8.7999999523163,63.924998283386,0.7256153712649386,63.805847,0.7345353
57,2004-03-13 03:00:00,1.7,1171.75,5.390103939543701,782.75,114.5,1178.5,80.08076923076922,1379.75,995.5,7.8000000715256,67.52499961853,0.7173121148941005,66.99629,0.7129643
58,2004-03-13 04:00:00,0.758659217877095,1147.0,6.199041963295953,821.0,109.0,1132.25,83.0,1411.75,991.5,7.0,71.075000762939,0.7157784693036635,69.84924,0.62594384
59,2004-03-13 05:00:00,1.0,978.25,2.577932199377853,624.75,62.0,1420.25,65.0,1274.25,819.25,8.2999999523163,63.574999809265,0.6981546204756909,63.737392,0.68799603
60,2004-03-13 06:00:00,1.2,1099.5,2.908548009422834,646.25,53.0,1406.25,60.0,1267.5,835.0,7.2000000476837,67.47500038147,0.6886721470838881,67.2049,0.67424107
61,2004-03-13 07:00:00,1.5,1112.25,5.136255828724421,770.25,139.0,1228.0,77.0,1408.5,939.75,6.3499999046326,71.89999961853,0.6931985587343715,71.36199,0.73663896
62,2004-03-13 08:00:00,2.7,1335.5,11.817138600992351,1043.25,256.0,935.25,96.0,1678.0,1191.75,6.450000166893,71.550001144409,0.6944754797176015,71.680466,0.70163447
63,2004-03-13 09:00:00,3.7,1408.3333333333,15.140161198407567,1153.0,295.0,830.33333333333,119.0,1776.6666666667,1411.0,9.5666666030884,59.666667938232,0.7123665611992754,60.766888,0.7536246
64,2004-03-13 10:00:00,3.2,1447.0,12.913063095907157,1080.75,250.0,868.5,126.0,1666.75,1465.0,12.375,51.175000190735,0.7334583850640767,60.34312,0.7671408
65,2004-03-13 11:00:00,4.1,1541.5,16.133508844949027,1183.75,296.0,808.25,158.0,1779.75,1582.5,15.649999856949,42.199999809265,0.7450937577774329,43.25339,0.7892424
66,2004-03-13 12:00:00,3.6,1451.25,14.019301019815009,1117.25,239.0,875.25,161.0,1679.25,1387.25,18.400000095367,33.824999809265,0.708963570176462,33.9548,0.7060764
67,2004-03-13 13:00:00,2.8,1328.25,12.279664077200536,1059.25,153.0,986.5,124.0,1599.5,1100.5,19.35000038147,31.275000095367,0.6950081047527402,30.702843,0.6846085
68,2004-03-13 14:00:00,2.0,1206.5,8.618412576532277,924.25,118.0,1087.75,102.0,1488.25,849.75,18.02499961853,34.800000190735,0.7126738741944919,33.02182,0.679929
69,2004-03-13 15:00:00,2.0,1239.5,9.196566740238417,947.0,119.0,1049.0,116.0,1531.75,947.0,18.375,33.64999961853,0.704207020809635,33.604942,0.730633
70,2004-03-13 16:00:00,2.5,1306.0,10.244887084344466,986.75,138.0,1004.0,124.0,1554.0,1078.0,17.625,35.10000038147,0.7012032509364389,34.35174,0.71055704
71,2004-03-13 17:00:00,2.3,1326.0,10.611844460473737,1000.25,148.0,975.5,125.0,1601.5,1083.75,16.675000190735,37.799999237061,0.7117364038435915,38.5447,0.696968
72,2004-03-13 18:00:00,3.2,1472.75,15.452209964915284,1162.75,227.0,830.5,148.0,1779.0,1394.75,16.099999904633,41.02499961853,0.7451314943585404,40.84567,0.7341997
73,2004-03-13 19:00:00,4.2,1609.0,19.636784663917272,1286.25,277.0,757.5,165.0,1922.0,1611.5,15.825000047684,42.400000572205,0.7569143276676089,42.896652,0.70322365
74,2004-03-13 20:00:00,4.2,1610.75,19.202727916183612,1274.0,279.0,754.25,161.0,1915.0,1697.25,15.650000095367,44.10000038147,0.7786406550707863,44.500526,0.7709495
75,2004-03-13 21:00:00,4.2,1620.5,18.269310357149713,1247.25,283.0,762.0,159.0,1860.0,1885.5,15.325000047684,46.775000572205,0.8091244285768237,49.11192,0.7871926
